sampleTimeStamp,groundSteering,output
1584542913171331,-0,0.0399547
1584542913273678,-0,0.0362779
1584542913371675,-0,0.0178938
1584542913471300,0.131955,-0.00661827
1584542913573831,0.251916,0.114226
1584542913673214,0.290888,0.264731
1584542913773930,0.290888,0.268408
1584542913871575,0.185939,0.299783
1584542913971284,-0,0.27331
1584542914071197,-0,0.231394
1584542914171330,-0,0.0409352
1584542914273974,-0,0.0269633
1584542914371134,-0,0.0382389
1584542914471366,-0,0.0328462
1584542914571075,0.290888,-0.00539266
1584542914671676,0.290888,0.0107853
1584542914773329,-0,0.348072
1584542914871099,-0,0.209088
1584542914971061,-0.0359804,0.0357877
1584542915071472,-0,-0.000980484
1584542915173995,-0,-0.0245121
1584542915273165,-0,-0.0102951
1584542915371381,-0,-0.016178
1584542915471166,-0,-0.0193646
1584542915571068,-0,-0.0235316
1584542915672057,-0,-0.034317
1584542915772789,-0,-0.0232865
1584542915870931,-0,-0.00906948
1584542915973716,-0,-0.00710851
1584542916071023,-0,-0.00539266
1584542916170757,-0,0.000490242
1584542916273052,-0,-0.00147073
1584542916370899,-0,-0.044612
1584542916470706,-0,-0.0151975
1584542916571108,0.206934,-0.00784388
1584542916671419,-0,-0.0352974
1584542916776562,-0,0.184086
1584542916871380,0.260909,0.0659376
1584542916970804,-0.104958,0.078929
1584542917070592,-0,0.340473
1584542917171092,-0,-0.0509852
1584542917272368,-0,-0.0362779
1584542917370572,-0,-0.0580937
1584542917470692,-0,-0.0183841
1584542917573515,0.203933,-0.0198548
1584542917671308,0.200933,-0.0198548
1584542917772220,0.185939,0.409842
1584542917870667,0.179937,0.39538
1584542917970513,0.221928,0.402244
1584542918070763,0.128963,0.408127
1584542918170583,-0,0.42406
1584542918272671,-0,0.339983
1584542918370765,-0,0.0497596
1584542918470637,-0,0.0110304
1584542918570532,-0,0.0411803
1584542918671191,0.203933,0.000980484
1584542918772430,0.0929737,0.0259828
1584542918870298,0.0899731,0.280664
1584542918970452,0.0689779,0.255906
1584542919073114,0.0239958,0.173791
1584542919170463,-0,0.158593
1584542919272805,-0,0.0583388
1584542919370145,-0,0.0438767
1584542919470100,-0,-0.0348072
1584542919570261,-0.0419816,0.0205902
