sampleTimeStamp,groundSteering,output
1584543639730586,0.0239958,0.221075
1584543639830384,0.0629856,-0.221075
1584543639930389,0.0599851,-0.139572
1584543640030532,0.0569845,-0.173724
1584543640132605,0.0509833,0.221075
1584543640230302,0.029997,-0.221075
1584543640330592,0.0209952,-0.221075
1584543640433437,0.0329887,0.221075
1584543640530912,0.0599851,0.221075
1584543640632628,0.0599851,-0.221075
1584543640730371,0.0959743,-0.221075
1584543640830315,0.104967,-0.221075
1584543640930504,0.104967,0.221075
1584543641030436,0.104967,0.221075
1584543641132278,0.0929737,-0.221075
1584543641233681,0.0719785,-0.221075
1584543641330267,0.0599851,-0.221075
1584543641430089,0.0599851,-0.221075
1584543641530913,0.0599851,-0.11262
1584543641632149,0.0599851,-0.0162582
1584543641730423,0.0599851,-0.221075
1584543641830373,0.0599851,0.221075
1584543641930054,0.0599851,0.221075
1584543642030003,0.0809714,0.0156208
1584543642132297,0.083972,-0.115028
1584543642229960,0.0809714,-0.0832638
1584543642330074,0.0749791,-0.0327152
1584543642430461,0.0779797,-0.109181
1584543642530581,0.0779797,0.221075
1584543642631993,0.0779797,-0.0829867
1584543642730116,0.0779797,-0.0549057
1584543642829860,0.0779797,-0.00507985
1584543642929813,0.0779797,-0.113814
1584543643029974,0.0779797,-0.0724487
1584543643131918,0.0779797,-0.0044107
1584543643229752,0.0779797,-0.127519
1584543643329983,0.0779797,0.069576
1584543643432318,0.0749791,-0.101414
1584543643533544,0.0629856,-0.221075
1584543643632153,0.0629856,-0.221075
1584543643729724,0.0629856,0.0839211
1584543643829682,0.107968,-0.0581312
1584543643929865,0.107968,-0.171792
1584543644029735,0.104967,-0.221075
1584543644131643,0.0959743,-0.167596
1584543644229741,0.0749791,-0.014334
1584543644329598,0.0749791,0.221075
1584543644429702,0.0749791,0.00951996
1584543644530485,0.0599851,0.073762
1584543644631507,-0.0239869,0.221075
1584543644729454,-0.110959,0.221075
1584543644829700,-0,0.221075
1584543644929480,-0,-0.0938283
1584543645029713,-0,-0.201713
1584543645131729,-0,0.0477889
1584543645229343,-0,-0.203447
1584543645329390,0.251916,-0.221075
1584543645429788,-0,0.133767
1584543645530106,-0,0.221075
1584543645631409,-0,0.158382
1584543645729857,-0,0.167914
1584543645829252,-0,0.0878657
1584543645929239,-0,0.0850018
1584543646029534,-0,0.221075
1584543646131588,-0,0.221075
1584543646229352,-0,0.0647717
1584543646329618,-0,-0.0353242
1584543646429974,-0,-0.0159276
1584543646529859,-0,-0.0436028
1584543646631417,-0,-0.0443228
1584543646729403,-0,0.221075
1584543646829037,-0,0.0222622
1584543646929207,-0,-0.169531
1584543647029279,-0,-0.190131
1584543647132037,0.0569845,0.221075
1584543647229239,0.0150029,-0.168616
1584543647328973,-0,-0.194363
1584543647428936,-0,-0.129758
1584543647529883,-0,-0.0650644
1584543647630903,0.0569845,-0.0888465
1584543647729198,0.0569845,0.0479574
1584543647832562,0.0569845,-0.221075
1584543647929190,0.0779797,-0.221075
1584543648029252,0.083972,-0.221075
1584543648130894,0.083972,-0.221075
1584543648228812,0.0809714,-0.221075
1584543648328775,0.0809714,-0.221075
1584543648429191,0.0809714,-0.221075
1584543648529394,0.0809714,-0.221075
1584543648634094,0.101967,-0.221075
1584543648730295,0.110968,-0.221075
1584543648828958,0.26691,-0.221075
1584543648928685,0.290888,-0.221075
1584543649029160,0.290888,-0.221075
1584543649131401,0.290888,-0.221075
1584543649228869,0.290888,-0.221075
1584543649328834,0.290888,-0.221075
1584543649431377,0.290888,-0.221075
1584543649532735,-0,-0.111257
1584543649631260,-0.14994,0.221075
1584543649728728,-0,-0.172195
1584543649828510,-0,-0.0453639
1584543649928639,-0,-0.221075
1584543650028483,-0,0.0230629
1584543650130578,-0,-0.0290663
1584543650228577,-0,-0.120212
1584543650328409,-0,-0.221075
1584543650428364,-0,-0.0762354
1584543650529168,-0,-0.098258
1584543650630413,-0,-0.057703
1584543650728324,-0,-0.143243
1584543650828440,-0,-0.134463
1584543650928248,-0,-0.185364
1584543651028228,-0,-0.221075
1584543651130476,-0,-0.221075
